'Mech Base Variant,Player(s) who own the 'Mech
ACH-A,SirEpicPwner
ACH-B,SirEpicPwner
ACH-C,Tarogato
ACH-E,"Lusciousbalzack, SirEpicPwner, Tarogato"
ACH-PRIME,"Generic Player 1, SirEpicPwner, Tarogato, VulkanNo1"
ACH-SH,"SirEpicPwner, Tarogato"
ACW-1,"abobra, Generic Player 1, Lusciousbalzack, SirEpicPwner, Tarogato, VulkanNo1"
ACW-2,SirEpicPwner
ACW-A,VulkanNo1
ACW-BK,SirEpicPwner
ACW-P,"Generic Player 1, SirEpicPwner, Tarogato"
ACW-PRIME,SirEpicPwner
ADR-A,Tarogato
ADR-B,SirEpicPwner
ADR-CN,SirEpicPwner
ADR-D,"SirEpicPwner, Tarogato"
ADR-PRIME,"Generic Player 1, SirEpicPwner, Tarogato, U94"
ANH-1A,SirEpicPwner
ANH-1E,"SirEpicPwner, Tarogato"
ANH-1P,"Generic Player 1, SirEpicPwner, VulkanNo1"
ANH-1X,"SirEpicPwner, Sunwraith"
ANH-2A,"Generic Player 1, Lusciousbalzack, NimhTG, SirEpicPwner, Tarogato"
ANH-MB,SirEpicPwner
ARC-2R,SirEpicPwner
ARC-5S,SirEpicPwner
ARC-5W,SirEpicPwner
ARC-T,"Lusciousbalzack, SirEpicPwner, Tarogato"
AS7-BH,"Lusciousbalzack, SirEpicPwner"
AS7-D,"Lusciousbalzack, SirEpicPwner, VulkanNo1"
AS7-D-DC,"Generic Player 1, Lusciousbalzack, SirEpicPwner"
AS7-K,SirEpicPwner
AS7-K3,"Chosen by Heaven, Generic Player 1, Lusciousbalzack, NimhTG, SirEpicPwner, Sunwraith, Tarogato"
AS7-KR,"Generic Player 1, SirEpicPwner"
AS7-S,"Lusciousbalzack, SirEpicPwner"
ASN-101,"SirEpicPwner, Tarogato"
ASN-21,"Generic Player 1, SirEpicPwner, Tarogato"
ASN-23,"Lusciousbalzack, SirEpicPwner, Tarogato, VulkanNo1"
ASN-26,"SirEpicPwner, Tarogato"
ASN-27,"SirEpicPwner, Tarogato"
ASN-DD,"SirEpicPwner, Tarogato"
AWS-8Q,"Generic Player 1, SirEpicPwner, Sunwraith, Tarogato, VulkanNo1"
AWS-8R,SirEpicPwner
AWS-8T,SirEpicPwner
AWS-9M,"Lusciousbalzack, SirEpicPwner"
AWS-PB,SirEpicPwner
BAS-A,"Generic Player 1, Tarogato, VulkanNo1"
BAS-B,SirEpicPwner
BAS-C,SirEpicPwner
BAS-E,"Generic Player 1, SirEpicPwner, Tarogato"
BAS-RA,SirEpicPwner
BJ-1,"SirEpicPwner, Tarogato"
BJ-1DC,SirEpicPwner
BJ-1X,"SirEpicPwner, Tarogato"
BJ-2,"Lusciousbalzack, SirEpicPwner, Tarogato"
BJ-3,"SirEpicPwner, Tarogato"
BJ-A,"SirEpicPwner, Tarogato"
BKL-A,"Chosen by Heaven, Generic Player 1, SirEpicPwner, Tarogato"
BKL-BL,"Generic Player 1, SirEpicPwner, Tarogato"
BKL-C,Tarogato
BKL-D,Tarogato
BL-6-KNT,"Generic Player 1, SirEpicPwner, Tarogato, VulkanNo1"
BL-6B-KNT,"SirEpicPwner, Tarogato"
BL-7-KNT,"Generic Player 1, Lusciousbalzack, SirEpicPwner, Tarogato"
BL-7-KNT-L,"SirEpicPwner, Tarogato"
BL-P-KNT,SirEpicPwner
BLR-1D,SirEpicPwner
BLR-1G,"Generic Player 1, SirEpicPwner, Tarogato, VulkanNo1"
BLR-1GHE,"SirEpicPwner, Tarogato"
BLR-1S,SirEpicPwner
BLR-2C,SirEpicPwner
BLR-3M,"Generic Player 1, SirEpicPwner"
BNC-3E,"Generic Player 1, Lusciousbalzack, SirEpicPwner, Tarogato"
BNC-3M,"SirEpicPwner, Tarogato"
BNC-3S,SirEpicPwner
BNC-LM,"Generic Player 1, SirEpicPwner, Tarogato"
BNC-SR,"Generic Player 1, SirEpicPwner"
BSW-HR,SirEpicPwner
BSW-P1,"Chosen by Heaven, SirEpicPwner, Tarogato"
BSW-P2,"Tarogato, U94"
BSW-S2,"SirEpicPwner, Tarogato"
BSW-X1,"abobra, SirEpicPwner, Sunwraith, VulkanNo1"
BSW-X2,"SirEpicPwner, Tarogato"
CDA-2A,"SirEpicPwner, Tarogato"
CDA-2B,"SirEpicPwner, Tarogato"
CDA-3C,SirEpicPwner
CDA-3F,"SirEpicPwner, Tarogato"
CDA-3M,"Lusciousbalzack, SirEpicPwner, Tarogato"
CDA-X5,SirEpicPwner
CGR-1A1,"Chosen by Heaven, Generic Player 1, Lusciousbalzack, SirEpicPwner, VulkanNo1"
CGR-1A5,"Lusciousbalzack, SirEpicPwner"
CGR-3K,SirEpicPwner
CGR-N7,"SirEpicPwner, Tarogato"
CHP-1N,SirEpicPwner
CHP-1N2,"NimhTG, SirEpicPwner, Tarogato"
CHP-1NB,"Lusciousbalzack, SirEpicPwner, Tarogato"
CHP-2N,"abobra, SirEpicPwner"
CHP-3N,"Generic Player 1, SirEpicPwner, Tarogato"
CHP-INV,"Lusciousbalzack, SirEpicPwner, Tarogato"
CN9-A,"SirEpicPwner, Tarogato"
CN9-AH,"Generic Player 1, SirEpicPwner"
CN9-AL,SirEpicPwner
CN9-D,SirEpicPwner
CN9-YLW,"SirEpicPwner, Tarogato"
COM-1B,"SirEpicPwner, Tarogato"
COM-1D,"Chosen by Heaven, Lusciousbalzack, SirEpicPwner, Tarogato, VulkanNo1"
COM-2D,"SirEpicPwner, Tarogato, VulkanNo1"
COM-TDK,"SirEpicPwner, Tarogato"
COR-5R,SirEpicPwner
COR-5T,SirEpicPwner
COR-6R,SirEpicPwner
COR-7A,"Generic Player 1, Lusciousbalzack, SirEpicPwner, Sunwraith"
COR-BR,"Generic Player 1, SirEpicPwner, Tarogato, VulkanNo1"
COR-RA,SirEpicPwner
COU-BA,"SirEpicPwner, Tarogato"
COU-C,"Generic Player 1, Tarogato"
COU-D,"Tarogato, VulkanNo1"
COU-E,"SirEpicPwner, Tarogato"
COU-H,"SirEpicPwner, Tarogato"
COU-PRIME,Tarogato
CP-10-Q,"Lusciousbalzack, SirEpicPwner, VulkanNo1"
CP-10-Z,SirEpicPwner
CP-11-A,SirEpicPwner
CP-11-P,"SirEpicPwner, Tarogato"
CP-S,"Generic Player 1, SirEpicPwner, Tarogato"
CPLT-A1,"Lusciousbalzack, SirEpicPwner, Tarogato, U94"
CPLT-BB,SirEpicPwner
CPLT-C2,SirEpicPwner
CPLT-C4,"Lusciousbalzack, SirEpicPwner, Tarogato"
CPLT-J,"SirEpicPwner, Tarogato"
CPLT-K2,"SirEpicPwner, VulkanNo1"
CRB-20,SirEpicPwner
CRB-27,SirEpicPwner
CRB-27B,"Generic Player 1, Lusciousbalzack, NimhTG, SirEpicPwner, Tarogato, VulkanNo1"
CRB-27SL,"SirEpicPwner, Tarogato"
CRB-FL,SirEpicPwner
CRD-3R,"Lusciousbalzack, SirEpicPwner"
CRD-5K,"Lusciousbalzack, SirEpicPwner"
CRD-5M,"Lusciousbalzack, SirEpicPwner"
CRD-6T,"Chosen by Heaven, Generic Player 1, Lusciousbalzack, SirEpicPwner, Tarogato, VulkanNo1"
CRD-7L,"Lusciousbalzack, SirEpicPwner"
CRD-CR,"Chosen by Heaven, Generic Player 1, Lusciousbalzack, SirEpicPwner, Tarogato"
CTF-0XP,SirEpicPwner
CTF-1X,"SirEpicPwner, VulkanNo1"
CTF-2X,SirEpicPwner
CTF-3D,"SirEpicPwner, Tarogato"
CTF-3L,"SirEpicPwner, Tarogato"
CTF-4X,"Lusciousbalzack, SirEpicPwner"
CTF-IM,SirEpicPwner
DRG-1C,"SirEpicPwner, Tarogato"
DRG-1G,SirEpicPwner
DRG-1N,SirEpicPwner
DRG-5N,"Generic Player 1, Lusciousbalzack, SirEpicPwner, Tarogato, VulkanNo1"
DRG-FANG,SirEpicPwner
DRG-FLAME,SirEpicPwner
DV-6M,SirEpicPwner
DV-6MR,"Chosen by Heaven, Generic Player 1, Lusciousbalzack, SirEpicPwner, Tarogato, VulkanNo1"
DV-7D,"Lusciousbalzack, SirEpicPwner"
DV-7P,SirEpicPwner
DV-8D,SirEpicPwner
DV-FR,"SirEpicPwner, Tarogato"
DWF-A,SirEpicPwner
DWF-B,"SirEpicPwner, U94"
DWF-C,"abobra, Chosen by Heaven, Generic Player 1, Lusciousbalzack, SirEpicPwner, Tarogato, U94, VulkanNo1"
DWF-PRIME,"Lusciousbalzack, SirEpicPwner"
DWF-S,"SirEpicPwner, Tarogato"
DWF-UV,"Generic Player 1, Lusciousbalzack, SirEpicPwner, Tarogato"
DWF-W,"SirEpicPwner, Tarogato"
EBJ-A,"SirEpicPwner, VulkanNo1"
EBJ-B,"Generic Player 1, Lusciousbalzack, SirEpicPwner, Tarogato"
EBJ-D,Tarogato
EBJ-EC,"SirEpicPwner, Tarogato"
EBJ-PRIME,SirEpicPwner
ENF-4P,SirEpicPwner
ENF-4R,"SirEpicPwner, Tarogato"
ENF-5D,"SirEpicPwner, Tarogato"
ENF-5P,"SirEpicPwner, Tarogato"
ENF-GH,SirEpicPwner
EXE-A,"Generic Player 1, Lusciousbalzack, SirEpicPwner, Tarogato"
EXE-B,SirEpicPwner
EXE-C,SirEpicPwner
EXE-CH,SirEpicPwner
EXE-D,Tarogato
EXE-PRIME,SirEpicPwner
FLE-15,"SirEpicPwner, Tarogato"
FLE-17,"Chosen by Heaven, Lusciousbalzack, SirEpicPwner, Tarogato"
FLE-19,"SirEpicPwner, Tarogato"
FLE-20,"Lusciousbalzack, SirEpicPwner, Tarogato, VulkanNo1"
FLE-FA,SirEpicPwner
FLE-R5K,SirEpicPwner
FNR-5,"Chosen by Heaven, Generic Player 1, Lusciousbalzack, SirEpicPwner"
FNR-5B,"SirEpicPwner, Tarogato"
FNR-5E,SirEpicPwner
FNR-6R,"Chosen by Heaven, SirEpicPwner"
FNR-6U,SirEpicPwner
FNR-J,SirEpicPwner
FNR-WR,SirEpicPwner
FS9-A,"Chosen by Heaven, Generic Player 1, Lusciousbalzack, SirEpicPwner, Tarogato"
