Base,Variant,Name,Tonnage,Faction,Class,Skill Points
ACH-E,ACH-E,ACH-E,30,clan,light,70
COM-1D,COM-1D,Rage Inducer,25,inner_sphere,light,88
COM-1D,COM-1D,COM-1D,25,inner_sphere,light,91
FLE-17,FLE-17,FLE-17,20,inner_sphere,light,0
FLE-20,FLE-20,Ankle Biter,20,inner_sphere,light,91
FS9-A,FS9-A,FS9-A,35,inner_sphere,light,91
FS9-E,FS9-E,FS9-E,35,inner_sphere,light,91
FS9-H,FS9-H,FS9-H,35,inner_sphere,light,90
FS9-S,FS9-S(C),FS9-S(C),35,inner_sphere,light,0
INC-5,INC-5(C),INC-5(C),30,clan,light,0
JR7-IIC,JR7-IIC,JR7-IIC,35,clan,light,5
JR7-IIC-2,JR7-IIC-2,JR7-IIC-2,35,clan,light,55
JVN-10P,JVN-10P,JVN-10P,30,inner_sphere,light,0
JVN-11A,JVN-11A,JVN-11A,30,inner_sphere,light,30
JVN-11F,JVN-11F,JVN-11F,30,inner_sphere,light,91
KFX-C,KFX-C,ATM 3 x 6,30,clan,light,91
KFX-G,KFX-G,UAC20,30,clan,light,88
KFX-P,KFX-P,KFX-P,30,clan,light,3
KFX-PR,KFX-PR,KFX-PR,30,clan,light,91
KFX-S,KFX-S,LB-X 10,30,clan,light,91
LCT-1V,LCT-1V,LCT-1V,20,inner_sphere,light,91
LCT-3S,LCT-3S,LCT-3S,20,inner_sphere,light,20
MLX-D,MLX-D,MLX-D,25,clan,light,0
MLX-ED,MLX-ED,MLX-ED,25,clan,light,61
MLX-G,MLX-G,Comp MistLyn,25,clan,light,91
OSR-2V,OSR-2V,OSR-2V,30,inner_sphere,light,0
PIR-A,PIR-A,Comp Piranha,20,clan,light,91
RVN-3L,RVN-3L,RVN-3L,35,inner_sphere,light,16
RVN-H,RVN-H,RVN-H,35,inner_sphere,light,31
SDR-5D,SDR-5D,1,30,inner_sphere,light,91
SDR-5D,SDR-5D,3,30,inner_sphere,light,91
SDR-5D,SDR-5D,2,30,inner_sphere,light,91
SDR-5D,SDR-5D,Ddgball-HPPC,30,inner_sphere,light,91
SDR-5D,SDR-5D(P),SDR-5D(P),30,inner_sphere,light,91
